feature,count,mean_activation,best_rank
14826,28,0.09443292700286422,1
41649,28,0.08852719222860676,4
34706,28,0.07755628840199538,5
9738,28,0.07648297399282455,4
26248,28,0.0749694166172828,5
20627,28,0.07438384581889425,4
43428,28,0.07389485064361777,3
29835,28,0.06843081023544073,5
14133,28,0.06551447830029897,3
36265,28,0.06333799088107687,4
46077,28,0.061936662665435245,7
4818,28,0.0601016849811588,5
29069,28,0.05768490715750626,8
2715,28,0.05721802663590227,9
5053,28,0.054151615127921104,5
39873,28,0.053363575733133724,11
17244,28,0.05251628652747188,7
37899,28,0.05231142536337886,13
8672,27,0.09409744099334434,1
35700,27,0.0786556676030159,5
8684,27,0.07374067135431149,6
8910,27,0.06656624763100236,6
42901,27,0.06186856357035814,5
29366,27,0.05947607879837354,7
47737,27,0.05906319121519724,6
16480,27,0.05803691457819055,5
37162,27,0.05768649776776632,7
11476,27,0.05686837351984448,6
14230,27,0.05544921852372311,11
39680,27,0.05305872071120474,9
30974,27,0.05282721364939654,9
38716,27,0.051396722318949525,13
17273,27,0.04953032387075601,11
34042,26,0.10355607635126664,1
23080,26,0.08516059472010686,1
38142,26,0.0810618124042566,4
6548,26,0.0739644209925945,2
3303,26,0.07092859825262657,1
21557,26,0.06967370598935164,4
5081,26,0.06940746823182473,4
6450,26,0.0609651984503636,4
39227,26,0.05693641505562342,8
34202,26,0.05654109641909599,7
14928,26,0.05550143065360876,10
12934,26,0.055037627999599166,8
12391,25,0.07563643902540207,1
39979,25,0.07403538703918457,3
23313,25,0.06894803136587142,1
45777,25,0.06740150779485703,5
2930,25,0.06479984477162361,3
36447,25,0.062318889200687407,6
39832,25,0.06057554751634598,7
30074,25,0.06026361927390098,8
29990,25,0.0568049955368042,7
23789,25,0.05674613922834396,8
1224,25,0.05038718968629837,12
24817,25,0.0489508718252182,17
29115,24,0.09028697572648525,2
8474,24,0.07203754720588525,6
28320,24,0.06786083430051804,1
24227,24,0.0674324791568021,5
9416,24,0.06581365969032049,3
48944,24,0.06463533888260524,7
5775,24,0.06340294191613793,9
28393,24,0.06165794593592485,4
46936,24,0.06134957276905576,8
21344,24,0.06093474943190813,12
38214,24,0.06030587976177534,5
3953,24,0.05995962799837192,8
31536,24,0.05978499725461006,3
48548,24,0.058967530727386475,4
24038,24,0.057202507431308426,9
4306,24,0.055140777646253504,7
88,24,0.051654232355455555,9
16037,24,0.04903660217920939,14
37969,23,0.07781587217165076,2
